club_name,races_attended
612 Endurance,"['3644', '3660', '3663', '3758', '3798', '3803', '3820', '3837', '3937', '4071', '4215', '4243', '4260', '4270', '4315', '4394', '4439', '4460', '4485', '4583', '4627', '4699', '4729', '4751', '4788', '4827', '4977', '5044', '5097', '5099', '5105', '5109', '5224', '5320', '5331', '5384', '5469', '5615', '5616', '5656', '5816', '5826', '5895', '5900', '5911', '5939', '5940', '6051', '6072', '6141', '6142', '6143', '6173', '6199', '6200', '6207', '6219', '6286', '6398', '6415', '6545', '6599', '6709', '6723', '6914', '7054', '7058', '7203', '7220', '7290']"
Clarence R. Edwards Middle School,['5096']
Lymington Amateur Rowing Club,"['4271', '4716']"
Parker/Hunter,"['721', '967']"
Ratzeburger Ruderclub,"['2266', '4271', '4716']"
Passauer RV,['6228']
New Crew SRQ Cross College Alliance Rowing Club,['7163']
D.S.R.V. Laga,['4699']
Hutch Tech,['2218']
Institute of Notre Dame Crew,['1996']
Edeka Südwest Fleisch GmbH,['4773']
USRowing Junior Womens National Team Sculling Dev Camp,"['1462', '2201']"
Brisbane Water Rowing Club,"['2486', '2534', '2712', '2810', '4043']"
RCNO,['6228']
Crossfit Addison,['3395']
WSV Ottensheim,"['6142', '7111']"
University of California-Berkeley,"['19', '29', '38', '118', '144', '339', '400', '439', '504', '529', '557', '579', '742', '887', '999', '1057', '1060', '1075', '1367', '1372', '1383', '1409', '1414', '1489', '1610', '1674', '1702', '1864', '1878', '1899', '1961', '2063', '2096', '2155', '2339', '2405', '2441', '2564', '2630', '2740', '3114', '3143', '3145', '3164', '3265', '3299', '3355', '3499', '3581', '3726', '3730', '3885', '3894', '3947', '4076', '4122', '4149', '4316', '4350', '4425', '4473', '4570', '4727', '4819', '4820', '4873', '5004', '5155', '5206', '5341', '5342', '5375', '5379', '5408', '5610', '5656', '5956', '5961', '5987', '6212', '6240', '6413', '6471', '6642', '6670', '6783', '7038', '7137']"
Up Academy Dorchester,['5096']
Rick Herrin Fitness,['4361']
Ruder-Gesellschaft Hansa e.V.,"['2266', '2542', '2910', '4271', '4716', '4977', '5536', '6051']"
club nautico sevilla,"['4449', '4716']"
Rut Row,"['4853', '5417']"
Bydgoskie Towarzystwo Wioslarskie,['6228']
Jämsänjoen Soutuveikot,"['4231', '6676']"
St. Joseph's Prep,"['3644', '3937', '5772', '6265']"
South Secondary Rowing Team,"['62', '517', '990']"
Georgian Bay Rowing Club,"['832', '1988', '1989', '2055', '2342', '2423', '2424', '2530', '2772', '2974', '3000', '3305', '3574', '3782', '3783', '3798', '3799', '3972', '4069', '4163', '4164', '4215', '4226', '4227', '4272', '4273', '4283', '4495', '4660', '4693', '4694', '4776', '4782', '4977', '5068', '5069', '5087', '5105', '5137', '5299', '5332', '5333', '5536', '5551', '5585', '5615', '5629', '5656', '5844', '5850', '5851', '5860', '5890', '5902', '5903', '5955', '5965', '6051', '6141', '6200', '6405', '6406', '6415', '6416', '6462', '6466', '6469', '6481', '6544', '6555', '6575', '6601', '6635', '6677', '7180', '7417']"
FFC,['5300']
Fairmount Park Rowing Camp,['627']
Willamette University,"['33', '166', '328', '385', '457', '529', '853', '1061', '1162', '1231', '1270', '1347', '1424', '1618', '1761', '1792', '1907', '2096', '2110', '2346', '2382', '2564', '2624', '3319', '3544', '3732', '3767', '3996', '4222', '4278', '4612']"
Manhattan Junior Crew,"['1107', '1258', '1325', '2421', '4153']"
Hartford,"['3644', '3937']"
Rye HS,"['3644', '3937']"
Medford Barge Club,"['5420', '5829', '5868']"
Duquesne University,"['22', '77', '140', '160', '163', '170', '180', '196', '208', '220', '221', '267', '308', '364', '427', '439', '470', '510', '562', '572', '601', '625', '633', '640', '650', '663', '695', '696', '700', '720', '721', '742', '849', '877', '900', '941', '967', '1052', '1055', '1066', '1095', '1137', '1195', '1229', '1243', '1393', '1404', '1422', '1434', '1440', '1565', '1614', '1654', '1719', '1737', '1750', '1772', '1782', '1807', '1984', '2134', '2143', '2153', '2186', '2314', '2322', '2349', '2368', '2568', '2630', '2638', '2756', '2866', '3152', '3447', '3454', '3498', '3674', '3720', '3885', '3958', '3963', '3968', '4000', '4093', '4208', '4357', '4411', '4627', '4720', '4776', '4887', '4955', '5036', '5162', '5167', '5481', '5499', '5772', '5857', '6169', '6265', '6300', '6457']"
Canottieri Padova,"['2910', '4716', '6228', '7141']"
Noble & Greenough School,"['47', '479', '708', '841', '892', '947', '1149', '1182', '1562', '1607', '1872', '1943', '2271', '2345', '2385', '3016', '3099', '3183', '3727', '3742', '4212', '4215', '4237', '4256', '4449', '4587', '4613', '4699', '4715', '4778', '4977', '5091', '5100', '5103', '5119', '5209', '5318', '5613', '5648', '5656', '5703', '5794', '5827', '6051', '6141', '6142', '6196', '6206', '6321', '6420', '6463', '6513']"
Old Collegians,"['3644', '3937', '6228']"
AZS-AWF Warszawa,"['6228', '7141']"
UW Naval Reserve Officer Training Corps,['1418']
Veslařský klub Slavia Praha,"['832', '2266', '2542', '5536']"
Roeivereniging Rijnland,"['2266', '2910', '4271', '4699', '4716', '5536', '6141', '7090']"
NSU University School,"['161', '281', '291', '325', '378', '382', '395', '508', '621', '623', '699', '718', '1010', '1017', '1049', '1092', '1100', '1329', '1344', '1370', '1756', '2052', '2175', '2351', '3303', '3331', '3343', '3466', '3606', '3651', '3734', '3825', '3828', '3832', '3851', '3876', '3890', '4002', '4155', '4264', '4265', '4348', '4409', '4448', '4456', '4562', '4604', '4605', '4761', '4766', '4805', '4825', '4826', '5283', '5289', '5372', '5415', '5440', '5656', '5745', '5746', '5874', '5885', '5944', '5951', '6054', '6303', '6304', '6368', '6638', '6656', '6687']"
California Maritime Academy,"['557', '579', '854', '1059', '1231', '1383', '1485', '1610', '1702', '1714', '1961', '2063', '2091', '2355', '2436', '2441', '2498', '2564', '2740', '3114', '3265', '3299', '3355', '3369', '3499', '3544', '3569', '3644', '3646', '3781', '3795', '3885', '3894', '3937', '3970', '3980', '3996', '4139', '4215', '4316', '4350', '4473', '4492', '4546', '4612', '4699', '4733', '4820', '4873', '4969', '4977', '5115', '5341', '5342', '5356', '5375', '5558', '5573', '5656', '5987', '6051', '6141', '6159', '6166', '6186', '6413', '6642', '6991', '7068']"
Old Collegians Boat Club,"['2266', '2910', '4215', '4271', '4627', '4699', '4977', '5656', '6051', '6141']"
 HRV,"['3644', '3937', '4977', '6051']"
Beacon High School,"['3681', '3735']"
HKBU,"['4536', '4785', '4818', '4879', '5041', '5094', '5244', '5376', '6557', '6569', '7188']"
University of Pittsburgh Alumni,"['721', '1984', '2638']"
P&P Men Among Giants,"['47', '841']"
Great Valley Crew,"['500', '1123', '1125', '1127', '1128', '1129', '4432', '4433', '4434', '4549', '4627', '4663', '4816', '4834', '4835', '4836', '4837', '4838', '4839', '4856', '4858', '4912', '4914', '4940', '5042', '5077', '5126', '5162', '5349', '5357', '5381', '5383', '5418', '5478', '5544', '5546', '5547', '5548', '5549', '5696', '5772', '5905', '5924', '5946', '5970', '5972', '6024', '6025', '6026', '6027', '6029', '6265', '6280', '6303', '6549', '6611', '6660', '7247', '7268', '7269', '7270', '7271', '7293']"
Conestoga College Rowing Club,['2055']
Royal Engineers Rowing Club,['2207']
Belmont Rowing Club,['4707']
Hallescher Ruderclub e.V. im USV Halle e.V.,"['2266', '2910', '4271', '4716']"
Rough and Ready Rowing,['841']
Row New England,['4449']
Lithuania,['3477']
Long Island Elite,"['2806', '2962']"
National Ski Academy,['4210']
Nashville Rowing,"['31', '83', '161', '188', '219', '253', '458', '591', '670', '748', '789', '832', '1113', '1147', '1148', '1230', '1256', '1314', '1320', '1347', '1349', '1386', '1425', '1505', '1506', '1518', '1519', '1568', '1569', '1581', '1585', '1667', '1776', '1830', '1884', '1938', '1975', '1987', '2045', '2119', '2277', '2278', '2280', '2419', '2439', '2476', '2606', '2696', '2918', '2958', '2972', '3016', '3118', '3261', '3323', '3435', '3551', '3567', '3651', '3655', '3660', '3763', '3828', '3841', '4005', '4103', '4109', '4112', '4113', '4215', '4217', '4286', '4313', '4345', '4409', '4449', '4467', '4480', '4584', '4585', '4587', '4591', '4699', '4707', '4760', '4799', '4809', '4812', '4814', '4815', '4826', '4866', '4873', '4966', '4976', '4977', '5069', '5099', '5100', '5104', '5105', '5117', '5329', '5415', '5429', '5459', '5508', '5509', '5536', '5557', '5574', '5613', '5646', '5649', '5656', '5875', '5977', '6051', '6060', '6080', '6097', '6098', '6141', '6142', '6143', '6193', '6196', '6198', '6200', '6203', '6205', '6206', '6304', '6384', '6610', '6700', '7048', '7130', '7143', '7193', '7232', '7290']"
canottieri firenze,"['4716', '7141']"
Creighton University,"['47', '61', '109', '191', '209', '394', '429', '494', '526', '841', '871', '974', '1252', '1258', '1396', '1624', '1635', '2281', '2309', '2421', '2496', '3387']"
City University Rowing Team Alumni Association,"['4536', '4784', '4785', '4818', '4879', '5041', '5244', '6557', '6569', '6596', '7188']"
Dalhousie University Rowing,"['6012', '6035', '6036', '6037', '6258', '6657', '6664', '6845']"
Greenwich Water Club,"['1950', '2277', '3455', '4009', '4461', '4774', '4949', '6139', '6762', '7214']"
SCGS,['6228']
College Mont St-Louis,['5081']
Green Lake Crew,"['29', '38', '49', '86', '105', '132', '217', '219', '233', '242', '243', '261', '302', '309', '328', '348', '349', '386', '418', '529', '574', '596', '704', '708', '728', '765', '769', '775', '791', '832', '845', '875', '876', '893', '946', '955', '959', '992', '1004', '1031', '1053', '1057', '1060', '1061', '1091', '1147', '1149', '1159', '1160', '1190', '1270', '1282', '1328', '1347', '1372', '1502', '1506', '1550', '1551', '1609', '1618', '1664', '1670', '1792', '1808', '1820', '1823', '1826', '1830', '2019', '2024', '2270', '2272', '2273', '2277', '2310', '2382', '2443', '2450', '2476', '2834', '2910', '2940', '2956', '2964', '3016', '3077', '3079', '3207', '3219', '3273', '3319', '3517', '3543', '3654', '3767', '3790', '3808', '3879', '4106', '4109', '4111', '4215', '4223', '4296', '4341', '4354', '4442', '4586', '4587', '4594', '4671', '4672', '4699', '4781', '4817', '4845', '4888', '4941', '4943', '4977', '5083', '5100', '5106', '5124', '5161', '5316', '5358', '5363', '5368', '5400', '5457', '5496', '5497', '5613', '5647', '5656', '5731', '5819', '5866', '5881', '5930', '5960', '5989', '5998', '6051', '6083', '6136', '6137', '6141', '6194', '6196', '6197', '6206', '6255', '6257', '6265', '6317', '6382', '6391', '6424', '6566', '6615', '6617', '6718', '6766', '6767', '7192', '7290', '7340']"
Unaffiliated (AND),['5438']
Flatirons Crossfit Strength and Conditioning,"['2090', '2220', '2562', '2664', '3474', '3500', '4027']"
Galway Lake Sailing Club,"['3626', '4719']"
Ann Arbor Huron,"['3644', '3937']"
